Plugin ID|Risk|Host|Protocol|Port|Name|CVSS v4.0 Base Score|CVSS v3.0 Base Score|CVE
10107|None|10.1.100.31|tcp|80|HTTP Server Type and Version|||
10107|None|10.1.100.31|tcp|443|HTTP Server Type and Version|||
10267|None|10.1.100.31|tcp|22|SSH Server Type and Version Information|||
10287|None|10.1.100.31|udp|0|Traceroute Information|||
10863|None|10.1.100.31|tcp|443|SSL Certificate Information|||
10881|None|10.1.100.31|tcp|22|SSH Protocol Versions Supported|||
11219|None|10.1.100.31|tcp|22|Nessus SYN scanner|||
11219|None|10.1.100.31|tcp|80|Nessus SYN scanner|||
11219|None|10.1.100.31|tcp|443|Nessus SYN scanner|||
11936|None|10.1.100.31|tcp|0|OS Identification|||
19506|None|10.1.100.31|tcp|0|Nessus Scan Information|||
19689|None|10.1.100.31|tcp|443|Embedded Web Server Detection|||
21643|None|10.1.100.31|tcp|443|SSL Cipher Suites Supported|||
22964|None|10.1.100.31|tcp|22|Service Detection|||
22964|None|10.1.100.31|tcp|80|Service Detection|||
22964|None|10.1.100.31|tcp|443|Service Detection|||
22964|None|10.1.100.31|tcp|443|Service Detection|||
24260|None|10.1.100.31|tcp|80|HyperText Transfer Protocol (HTTP) Information|||
25220|None|10.1.100.31|tcp|0|TCP/IP Timestamps Supported|||
35716|None|10.1.100.31|tcp|0|Ethernet Card Manufacturer Detection|||
39520|None|10.1.100.31|tcp|22|Backported Security Patch Detection (SSH)|||
42822|None|10.1.100.31|tcp|443|Strict Transport Security (STS) Detection|||
43111|None|10.1.100.31|tcp|443|HTTP Methods Allowed (per directory)|||
45555|None|10.1.100.31|udp|623|Alert Standard Format / Remote Management and Control Protocol Detection|||
45590|None|10.1.100.31|tcp|0|Common Platform Enumeration (CPE)|||
48204|None|10.1.100.31|tcp|80|Apache HTTP Server Version|||
51185|None|10.1.100.31|tcp|443|Dell Integrated Remote Access Controller (iDRAC) Web Interface Detection|||
51192|Medium|10.1.100.31|tcp|443|SSL Certificate Cannot Be Trusted||6.5|
54615|None|10.1.100.31|tcp|0|Device Type|||
56984|None|10.1.100.31|tcp|443|SSL / TLS Versions Supported|||
